Name,UUID,State,TimeRemaining,CamUUID,CamName,LastImage
WorkingPrinter1,8a830d92-660a-401b-907c-4193a0fce34f,NONE,0 days,558542.0,HD Pro Webcam C920,0.0
WorkingPrinter2,c814e343-ea27-4799-8d9e-622f3e191f8b,,,,,7.5
